Age BP,Z-SCORES
-56.9,0.5368082
-50.33333333,2.23440622
-42.11428571,3.735272374
-30.46666667,0.518137128
-13.25,-1.250342689
1.325,-1.545422408
19.02857143,-1.090934962
65.1,-1.221360717
70.85,-0.875659273
98.14,-1.353359629
277.1478261,-1.46921248
426.1913043,-0.992808098
521.8928571,-1.119323848
595.1071429,-0.701692744
668.3214286,-1.093290455
741.5357143,-0.685702987
814.75,-1.009208012
887.9642857,-0.877686098
961.1785714,-1.038551666
1034.392857,-0.224135588
1107.607143,-0.409516184
1180.821429,0.233651913
1254.035714,0.701169764
1384.854701,-0.988628231
1520.923077,-0.996854324
1656.991453,-1.018775884
1745.435897,-0.625456998
1881.504274,-0.467811283
2017.57265,-0.539075875
2176.153846,-1.081365298
2349.74359,-1.008471262
2523.333333,-0.970262673
2696.923077,-1.442923706
2788.411765,-0.635460185
2886.941176,-0.936386025
2985.470588,-0.996058988
3084,-1.284595643
3182.529412,-0.744515806
3281.058824,-0.228489459
3379.588235,-0.457428515
3474.881657,-0.239041294
3568.017751,0.156377545
3661.153846,-0.070741149
3786.887574,3.347673214
3833.455621,0.157746398
3926.591716,-0.408338573
4019.727811,-0.413518403
4075.609467,-0.220384244
4168.745562,0.348741086
4336.2,-1.025005069
4553.2,-1.304078201
4661.7,-0.996172033
4770.2,-0.800329351
4987.2,-0.876345409
5204.2,-0.443039514
5421.2,-1.107115378
5638.2,-1.207069123
5855.2,-1.207063578
6012.909091,-0.945919649
6131.090909,-0.364985211
6196.090909,-0.218291354
6314.272727,-0.705094511
6467.909091,-0.575736763
6586.090909,-0.449017453
6681.695652,1.016591043
6743.434783,3.182623472
6805.173913,0.290570211
6866.913043,0.809022269
6928.652174,0.463428783
6990.391304,0.81634086
7052.130435,0.759577798
7113.869565,0.689772335
7175.608696,0.397045028
7237.347826,0.594415644
7299.086957,0.242332549
7360.826087,0.57617646
7425.059574,1.169915736
7512.148936,0.395627136
7576.659574,1.020219959
7641.170213,-0.130103427
7705.680851,-0.156753028
7770.191489,0.715573286
7834.702128,0.285410154
7899.212766,0.636613949
7963.723404,0.432553248
7995.978723,-0.376257297
8028.234043,-0.119053905
8060.489362,0.123950801
8092.744681,-0.218830578
8125,-0.420097526
8147.060811,0.735173456
8169.121622,1.656772829
8191.182432,2.713768597
8213.243243,2.576229236
8235.304054,0.634984776
8257.364865,1.002711095
8279.425676,0.605026535
8301.486486,0.170779765
8314.722973,0.57783913
8336.783784,0.923035753
8358.844595,1.013740982
8389.72973,0.454242572
8411.790541,0.667171829
8455.912162,0.799677005
8500.033784,0.380241496
8544.155405,-0.269726609
8588.277027,0.186951504
8632.398649,1.470139736
8676.52027,1.093685688
8720.641892,0.78934771
8764.763514,1.904376169
8782.014706,0.414908012
8787.75,0.542843189
8796.352941,0.641464877
8802.088235,-0.200328254
8807.823529,-0.223121149
8813.558824,-0.072911029
8816.426471,-0.650883173
8842.073482,-0.151408039
8904.757188,-0.833454077
8967.440895,-0.49008887
8998.782748,-0.536922489
9064.600639,1.386481202
9127.284345,-0.25637245
9158.626198,-0.19248992
9189.968051,-0.360873442
9283.99361,0.087998517
9315.335463,0.369839959
9378.019169,0.800030121
9409.361022,0.070160819
9472.044728,0.662899197
9534.728435,-0.291013557
9597.412141,-0.08199609
9628.753994,1.188830771
9660.095847,1.383474773
9691.4377,-0.870787784
9722.779553,-0.431098154
9754.121406,-0.478335023
9785.463259,-0.048492709
9798,-1.790852173
