depth,age,Bos taurus,Ovis aries,Cervus elaphus,Bufo bufo/spinosus,Bos sp.,Ursus arctos,Capra hircus,Rana temporaria,Sus scrofa,Lissotriton helveticus,Canis lupus,Pelophylax perezi,Mareca strepera/penelope,Apodemus flavicollis,Alytes obstetricans,Neomys fodiens,Anas platyrhynchos,Psophus stridulus,Equus caballus,Capreolus capreolus,Equus cf. asinus,Castor fiber,Martes martes,Microtus cf. arvalis,Equus sp.,Sciurus vulgaris,Anas crecca,Tetrao urogallus aquitanicus,Myodes glareolus,Nyctalus noctula
366,1331,82.5940724672092,16.7894932133379,0,0,0.0382180657947875,0,0.221967071395715,0,0.127056399826806,0.189860438518297,0,0,0,0,0,0,0.000699412770049323,0,0.031638803446785,0,0,0,0,0,0,0,0,0.00699412770049323,0,0
373,1496,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1635,68.6039662281563,0,0,0,0,0,0,0,0,31.3960337718437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,1776,52.1297215524985,47.8702784475015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,1920,72.1706307224116,27.8293692775884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,2042,41.4314174577569,58.3724747874606,0,0,0.0846326501889913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224995623950145,0,0.0889755421984665,0,0,0,0,0,0,0,0,0
408,2218,81.0672748230197,16.3529226470654,2.10043719842309,0,0.0313006410176396,0,0.0139925837167123,0.00390054724970998,0,0,0,0,0,0,0.0402961380971733,0,0,0,0.342931323782799,0,0,0,0,0.0431339180250348,0,0,0,0,0.00381017960280108,0
415,2424,92.5162323387989,5.7058464187041,0,0,1.31686728587891,0,0,0,0.46105395661812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,2720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,2957,87.1457915586816,7.0657177665603,0,0,2.12299993198229,0,0,0.522118593140832,0,3.14020283720717,0,0,0,0,0,0,0.003169312427763,0,0,0,0,0,0,0,0,0,0,0,0,0
436,3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,3310,21.8797138210286,0.252246482453701,35.0520082808756,33.8437251580754,0,1.97738208600538,0,4.25111165418075,0,2.69240816739279,0,0,0,0,0,0,0.0514043499877809,0,0,0,0,0,0,0,0,0,0,0,0,0
450,3437,87.7292344243063,8.05700294661781,1.41241301401792,0,0.0338412666917779,0,2.17435392389959,0,0.0749078756117483,0,0,0,0,0,0.518246548854874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,3554,76.7352962499453,19.1545809526908,0,0,0.225610936109486,0,2.94474496376608,0,0.168877514115814,0,0.765278834730799,0,0,0,0,0,0,0,0,0,0,0,0,0.0056105486417214,0,0,0,0,0,0
464,3641,91.2071537373024,4.89180861214572,0,0,1.3354643568375,0,2.13274617674159,0,0.0222895295755723,0,0,0,0,0,0.410537587397172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,3723,85.5492359798816,6.72232980274085,3.11783196753569,0,2.1559966092937,0,1.48866303092482,0,0,0.926589870454845,0.034846769506331,0,0,0,0,0,0.00450596966220565,0,0,0,0,0,0,0,0,0,0,0,0,0
478,3794,98.1313787736741,0,0,0,1.74681679081703,0,0,0,0,0,0,0,0,0,0.121804435508886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,3866,91.2776352454489,1.04219093330715,3.98340350834121,0,3.69677031290279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,3939,97.7957989301184,0.398643387337889,0.569339093086294,0,0.725191693987011,0,0,0,0.511026895470379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,4009,97.1739746657227,0,0,0,2.82602533427731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,4084,95.7036941801663,2.83920459415445,0,0,1.45710122567927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,4186,93.1803535220344,5.42386142746616,0.77124459246814,0.624540458031265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,4412,62.3900986297731,35.1598897151293,0,0,1.87203191108191,0,0,0,0.577979744015756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,4661,86.5017523927932,9.63762446276031,1.75105304337574,0.645893398784579,0.535631986795426,0,0,0.414786551055187,0.513258164435537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,4852,0,0,93.0823117338004,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91768826619965,0,0,0,0,0,0,0,0,0,0,0,0,0
541,5216,55.6412907418003,40.5580898956237,0,0,3.09310665899245,0,0,0,0,0,0.0127931054966929,0,0,0,0,0,0.660541055128845,0,0,0.0341785429580502,0,0,0,0,0,0,0,0,0,0
548,5602,47.4246610382659,46.6069248689958,4.28121573170761,0.314568456575805,0.982691777787381,0,0.11226122031772,0,0.0814340661114434,0,0,0,0,0,0,0,0.0297934503392688,0.166449389899039,0,0,0,0,0,0,0,0,0,0,0,0
555,5991,63.9588837985479,31.2529094269678,0.130838522151471,1.71265275103662,1.84342598450438,0,0.926838153923295,0.174451362868628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,6216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,6396,0,0,21.8213838707176,78.1010821527862,0,0,0,0,0,0,0,0,0,0,0,0,0.0775339764961288,0,0,0,0,0,0,0,0,0,0,0,0,0
583,6524,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,6675,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,6829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,6965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,7113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,7297,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,8508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,9237,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,9714,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,10573,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,10991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
704,11689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,12061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,12235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
